iter	RMSE
0	3651.670667
1	3351.638791
2	3086.466574
3	2849.382399
4	2643.670692
5	2462.950887
6	2303.546348
7	2164.763597
8	2044.687535
9	1941.399484
10	1852.195519
11	1777.195495
12	1711.989527
13	1656.981045
14	1610.100635
15	1570.308859
16	1538.094156
17	1463.653979
18	1401.226119
19	1346.184682
20	1299.26638
21	1259.874023
22	1226.163176
23	1171.582735
24	1120.792397
25	1079.234433
26	1043.995073
27	1010.128981
28	981.7544681
29	957.8929718
30	935.3461837
31	916.0869283
32	888.7177581
33	866.0980967
34	847.4346188
35	829.8801664
36	815.4348621
37	801.2785727
38	783.2423979
39	770.45115
40	758.7291314
41	745.870005
42	734.0047626
43	725.4386715
44	715.8539271
45	708.1521148
46	698.2547539
47	691.4396983
48	685.7490155
49	680.702141
50	677.009015
51	671.8207546
52	667.8412356
53	665.0780176
54	661.1648915
55	657.1434443
56	654.0090972
57	651.4623587
58	646.3380333
59	641.5418621
60	638.2466948
61	634.8115287
62	632.0114363
63	629.7493044
64	627.8726482
65	624.7483467
66	622.9755396
67	621.5404265
68	619.6590192
69	617.1730446
70	614.8850011
71	612.775225
72	611.3680678
73	609.0282069
74	607.4611281
75	605.9368872
76	604.9332425
77	603.0449688
78	602.047667
79	600.8241892
80	599.9001949
81	598.2125964
82	597.0902156
83	596.2295578
84	595.4214521
85	593.9239418
86	593.1170372
87	592.0620675
88	591.0677731
89	589.0160029
90	588.1669093
91	586.9732101
92	585.6170448
93	583.8862028
94	583.0675965
95	582.3206044
96	581.2874911
97	579.8858029
98	579.0621548
99	577.7340465
