iter	Passed	Remaining
0	524	51903
1	594	29154
2	668	21598
3	736	17676
4	797	15157
5	848	13300
6	899	11951
7	938	10798
8	985	9965
9	1026	9234
10	1071	8672
11	1118	8200
12	1168	7822
13	1251	7687
14	1304	7393
15	1349	7087
16	1397	6821
17	1441	6568
18	1487	6339
19	1526	6105
20	1565	5888
21	1606	5695
22	1645	5509
23	1686	5339
24	1727	5182
25	1768	5034
26	1809	4893
27	1849	4756
28	1892	4633
29	1931	4506
30	1978	4404
31	2024	4301
32	2065	4193
33	2110	4096
34	2152	3997
35	2193	3899
36	2232	3802
37	2273	3708
38	2314	3619
39	2358	3538
40	2407	3463
41	2449	3382
42	2491	3302
43	2536	3227
44	2579	3152
45	2622	3079
46	2696	3041
47	2768	2999
48	2845	2961
49	2919	2919
50	2994	2877
51	3068	2832
52	3140	2785
53	3214	2738
54	3285	2687
55	3356	2637
56	3435	2592
57	3507	2539
58	3583	2490
59	3656	2437
60	3731	2385
61	3804	2332
62	3882	2280
63	3953	2223
64	4026	2167
65	4099	2112
66	4174	2056
67	4247	1998
68	4322	1941
69	4396	1884
70	4470	1826
71	4544	1767
72	4619	1708
73	4692	1648
74	4767	1589
75	4844	1529
76	4917	1468
77	4991	1407
78	5064	1346
79	5137	1284
80	5216	1223
81	5292	1161
82	5364	1098
83	5438	1035
84	5511	972
85	5584	909
86	5656	845
87	5729	781
88	5824	719
89	5908	656
90	5983	591
91	6055	526
92	6131	461
93	6206	396
94	6280	330
95	6355	264
96	6428	198
97	6504	132
98	6597	66
99	6692	0
